full_text;Location;Sentimen
Prabowo Jenguk Korban Erupsi Marapi Tengok Dapur Umum dan Beri Santunan https://t.co/wLo9UEmDuJ;Jakarta, Indonesia;Positif
Menhan Prabowo Turut Berempati Terhadap Korban Erupsi Gunung Marapi Ucapkan Belasungkawa https://t.co/xkGyT0nsVM;Jakarta, Indonesia;Negatif
Menhan Prabowo Beri Santunan Kepada Korban Erupsi Gunung Marapi di Kabupaten Agam Sumbar https://t.co/scW5MC5P1j via @Koran Bogor;Kabupaten Agam, Sumatera Barat;Positif
Menhan Prabowo sampaikan belasungkawa pada korban erupsi Marapi https://t.co/uLugdtoBGz;Tegal, Jawa Tengah;Negatif
PARAH! Tentara Israel Meledek Korban Erupsi Gunung Marapi Auto Dirujak Netizen Indonesia https://t.co/vuQ75KUDlQ;Bandung, Jawa Barat;Negatif
Kementerian lingkungan Hidup dan Kehutanan (KLHK) RI bersama Balai Konservasi Sumber Daya Alam (BKSDA) Provinsi Sumatera Barat (Sumbar) terus mengupayakan agar para korban erupsi Gunung Marapi menerima santunan atau klaim asuransi.https://t.co/gzY2DpYMai;Bengkulu, Indonesia;Positif
Prabowo Jenguk Korban Erupsi Gunung Marapi Tengok Dapur ... - https://t.co/SaoLlQCgYd https://t.co/NJUu3esbXw #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy;Sumatera Barat, Indonesia;Positif
Prabowo Jenguk Korban Erupsi Gunung Marapi Tengok Dapur ... - https://t.co/cRwRuSO3Tv https://t.co/JBCPRHHWzn #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy;Jawa Barat, Indonesia;Positif
Prabowo Beri Santunan pada Korban Erupsi Gunung Marapi di Sumbar https://t.co/W2CumGAqiE;Jakarta, Indonesia;Positif
Prabowo mengapresiasi berbagai instansi dalam membantu korban erupsi Gunung Marapi. https://t.co/N85EsrLPhq;Jakarta, Indonesia;Positif
Prabowo menjenguk korban erupsi Gunung Marapi di posko tanggap bencana Agam Sumbar. https://t.co/2VxHsopphi;Jakarta, Indonesia;Positif
Ibu dan anak yang menjadi korban erupsi Gunung Marapi selesai diidentifikasi dan akan langsung dibawa ke Kota Padang Provinsi Sumatera Barat (Sumbar) Rabu (6/12/2023). Novita Intan Sari dan Wahlul Alde Putra meninggal dunia akibat erupsi Gunung Marapi yang terjadi pada Minggu https://t.co/OZplDb1Y2V;Sumatera Barat, Indonesia;Negatif
Misi Kemanusiaan Dan Konsolidasi Politik Capres Prabowo Sambangi Keluarga Korban Erupsi Marapi https://t.co/7TD8dDW0HD;Sumatera Barat, Indonesia;Positif
Menhan Prabowo Beri Santunan Kepada Korban Erupsi Gunung Marapi di Kabupaten Agam Sumbar - https://t.co/h5tSQnk5pR https://t.co/oAmAzsS923 #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy;Agam, Indonesia;Positif
Menhan Prabowo Beri Santunan Kepada Korban Erupsi Gunung Marapi di Kabupaten Agam Sumbar - https://t.co/E9rMikOEys https://t.co/tDByJVCFrd #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy;Agam, Indonesia;Positif
Menhan Prabowo Beri Santunan Kepada Korban Erupsi Gunung Marapi di Kabupaten Agam Sumbar https://t.co/pC4Br4NM8u;Jakarta, Indonesia;Positif
Menhan Beri Santunan Kepada Korban Erupsi Gunung Marapi https://t.co/2T6SMAnCDQ;Kabupaten Pangandaran, Indonesia;Positif
Menhan Prabowo Beri Santunan Kepada Korban Erupsi Gunung Marapi di Kabupaten Agam Sumbar Parangmaya 9 December 2023 https://t.co/jm3kfYaRAh;Jakarta, Indonesia;Positif
KLHK Terus Upayakan Korban Erupsi Gunung Marapi Terima Asuransi https://t.co/3AZ7lo9QP2;Pulo Gadung, Indonesia;Positif
Menhan Prabowo sampaikan belasungkawa pada korban erupsi Marapi. Tonton selengkapnya: https://t.co/rSVQoZ2WSn https://t.co/syCDuXtOQx;Jakarta, Indonesia;Negatif
Lihat Nih Aksi Menhan Prabowo Subianto saat Kunjungi Korban Erupsi Gunung Marapi https://t.co/bEk832FgMs;Pulo Gadung, Indonesia;Positif
Kunjungi Korban Erupsi Marapi Prabowo Diteriaki Presiden hingga Pak Gemoy https://t.co/DkRVncZZnA;Sumatera Barat, Indonesia;Positif
Menhan Prabowo sampaikan belasungkawa pada korban erupsi Marapi https://t.co/k4UluuF6eY;Jakarta, Indonesia;Negatif
Frengki Candra Kusuma merupakan salah satu korban Erupsi Gunung Marapi. Ia mengeluarkan aroma wangi dari jenazahnya. https://t.co/0qOND9Gd0W;Jakarta, Indonesia;Positif
orang ig ko pada jancuk semua tau ada video korban erupsi gunung marapi malah pada bgt semua komenannya;Jawa Timur, Indonesia;Negatif
Fyp TikTokku masih berisi penyitas korban erupsi Marapi Sumbar. Fyp kalian apa?;Lumajang, Indonesia;Negatif
nangis bgt liat jumlah korban erupsi gunung marapi sumbar rest in peace teman;Jawa Barat, Indonesia;Negatif
Top 3 News: Tujuh Kisah Pilu Korban Erupsi Gunung Marapi https://t.co/wXBZnEsf5e #News;Jakarta, Indonesia;Positif
Letusan Gunung Marapi di Kab. Agam menelan korban jiwa. Dari data yang tersedia 75 pendaki terjebak di sekitar area saat gunung erupsi. Simak informasi selengkapnya dalam #PopNewsKompasTV hari ini pukul 09.30 WIB hanya di KompasTV! : https://t.co/rUTSoY7Gv2 https://t.co/XIkM62hpRY;Jakarta, Indonesia;Negatif
Erupsi Gunung Marapi menjadi pelajaran pahit untuk keselamatan pendakian di gunung berapi. Jatuhnya 23 korban jiwa akibat letusan yang disebut terjadi 'tiba-tiba' pada Minggu (03/12) membuktikan prosedur dan rambu-rambu keselamatan 'telah diabaikan'. Saksikan videonya. https://t.co/9xegSY3bsE;Jakarta, Indonesia;Negatif
Sedih sekali melihat banyak korban marapi Ada sebuah pertanyaan yg sy blm dpt jawabannya di internet Apakah pemerintah tdk punya alat yg bs mendeteksi erupsi? Cc @infoBMKG @BPNB_indonesia Bukankah dgn teknologi saat ini harusnya hal ini bs diprediksi dan marapi ditutup?;Jawa Barat, Indonesia;Negatif
 Merinding Ya Alloh Bau Wangi Tercium dari Jasad Frengki Korban Erupsi Marapi Ini Kesaksian Teman https://t.co/uXTVAF1np8;Semarang, Indonesia;Positif
Prada Muhammad Arifin Anggota TNI yang Evakuasi Zhafirah Korban Erupsi Gunung Marapi Sumbar https://t.co/lZoagy8kde;Sumatera Barat, Indonesia;Positif
Kisah Adan Korban Tewas Erupsi Gunung Marapi Sempat Kabari Ibu: Satu Kaki Adan Putus Bu https://t.co/wuhPH6r3ec #trending;Sumatera Barat, Indonesia;Negatif
@sosmedkeras Turut berdukacita yg sedalam2nya Rest in Peace Adan dan semua korban jiwa erupsi Gunung Marapi;Sumatera Barat, Indonesia;Negatif
[VIDEO] Cerita Menegangkan Penyelamatan Pendaki Korban Erupsi Marapi https://t.co/cY9V5TWuwL #vlix;Sumatera Barat, Indonesia;Negatif
dari kemaren nangisin korban erupsi gunung marapisemoga para korban husnul khatimah. alfatihah;Jakarta, Indonesia;Negatif
Pemanggilan tersebut menyusul tewasnya 23 pendaki yang menjadi korban erupsi Gunung Marapi https://t.co/zz21lPTSCJ;Jakarta, Indonesia;Negatif
@A_zakii Kelak akan menjadi sejarah di Sumbar Berduka sedalam2nya untuk korban bencana Erupsi marapi 3 desember 2023.;Sumatera Barat, Indonesia;Negatif
Tentara Israel Ledek Korban Erupsi Marapi Langsung Dibalas Hujatan Warganet https://t.co/2KveSS8FWg;Jawa Barat, Indonesia;Negatif
ERUPSI MARAPI: IDI Siagakan Tenaga Kesehatan untuk Penanganan Korban https://t.co/pPGdNIyZwn Kondisi terakhir #erupsimarapi #ErupsiGunungMarapi dan penanganan @PBIDI @BNPBdMediaCell @BNPB_Indonesia;Jakarta, Indonesia;Positif
Erupsi Gunung Marapi Renggut Korban Jiwa BKSD Sumbar Siap Penuhi Panggilan Polda: https://t.co/fvfXioYa49 -&amp nbsp Pihak Balai Konservasi Sumber Daya Alam (BKSDA) wilayah Sumatera Barat (Sumbar) mengaku siap memenuhi panggilan Polda terkait akibat erupsi https://t.co/ScPX8GqEmQ https://t.co/8YlMXpkLDi;Riau, Indonesia;Positif
Tiap mlm mau tidur nangis trus grgr scroll tiktok fyp tentang korban erupsi marapiÃ¯Â¸Â;Padang, Sumatera Barat;Negatif
Terkait Korban Tewas Erupsi Marapi Polisi Panggil BKSDA Minggu Depan https://t.co/fgYz0HfKIr;Jakarta, Indonesia;Positif
Inilah Sosok FrengkiÃÂ Candra Korban Tewas Erupsi Marapi Yang Berbau Wangi Ternyata Penghafal Alquran https://t.co/hv5tkVyg4z via TribunJateng;Jawa Tengah, Indonesia;Positif
Kisah Pilu Siska Afrina Korban Terakhir Erupsi Gunung Marapi yang Gagal Diwisuda https://t.co/yYpmOhOL55;Jawa Barat, Indonesia;Negatif
Kisah Pilu Siska Afrina Korban Terakhir Erupsi Gunung Marapi yang Gagal Diwisuda https://t.co/8NL1dkopI1 https://t.co/8NL1dkopI1;Jakarta, Indonesia;Negatif
Letusan Gunung Marapi di Kab. Agam menelan korban jiwa. Dari data yang tersedia 75 pendaki terjebak di sekitar area saat gunung erupsi. Simak informasi selengkapnya dalam #PopNewsKompasTV besok pukul 09.30 WIB hanya di KompasTV! : https://t.co/rUTSoY8ekA https://t.co/HMe8xZ3YH9;Jakarta, Indonesia;Negatif
Korban Erupsi Gunung Marapi Tewaskan 23 Pendaki BKSDA Sumbar Terancam Pidana Jika.. https://t.co/YW1WaKF8kG;Malingping, Indonesia;Negatif
Kisah Pilu Siska Afrina Korban Terakhir Erupsi Gunung Marapi yang Gagal Diwisuda https://t.co/JmB8rYBVvW;Jakarta, Indonesia;Negatif
Kisah Pilu Siska Afrina Korban Terakhir Erupsi Gunung Marapi yang Gagal Diwisuda https://t.co/UhZ0tDDJGc;Jakarta, Indonesia;Negatif
Keluarga dari salah satu korban meninggal dunia akibat erupsi Gunung Marapi mengaku dipungut biaya untuk pengurusan jenazah. https://t.co/XunFB3xHP1;Jakarta, Indonesia;Negatif
@jokowi @KemenkesRI @BudiGSadikin Pengurusan Jenazah Kami Dipungut Biaya Kesaksian Ortu yang Anaknya Jadi Korban Erupsi Marapi https://t.co/Jltzv3Gb2v;Balikpapan, Indonesia;Negatif
Kisah Haru M.Adan Korban Gunung Marapi yang Meninggal Dunia Berkorban Demi Zhafira Supaya Selamat https://t.co/9L3GVZkBOw #Adan #erupsi #GunungMarapi #Zhafira #Ive;Semarang, Indonesia;Negatif
Tim SAR gabungan dari TNI dan Polri berhasil menemukan seluruh korban erupsi Gunung Marapi terdapat 23 korban yang meninggal dunia. https://t.co/Vhmk138qxT;Jakarta, Indonesia;Negatif
RS Achmad Mochtar Bukittinggi memastikan tidak ada pungutan biaya dalam perawatan serta proses identifikasi dan pengurusan hingga pemulangan jenazah para korban erupsi Gunung Marapi. #erupsimarapi #Marapi #MedcomID https://t.co/InwDI154Ph;Jakarta, Indonesia;Positif
Tita Cahyani (25) merupakan korban selamat erupsi Gunung Marapi. Tita menceritakan bagaimana mencekamnya situasi pada saat erupsi berlangsung. https://t.co/FyliLym817;Jakarta, Indonesia;Negatif
Daftar Nama 23 Korban Tewas Erupsi Gunung Marapi Satu Orang Anggota Polisi https://t.co/3MJIkI9M4y #trending;Sumatera Barat, Indonesia;Negatif
@pendakilawas Ibu dan Anak Tewas Jadi Korban Erupsi Gunung Marapi Momen Terakhir di Puncak Bikin Haru https://t.co/PpUQijHCJw;Jakarta, Indonesia;Negatif
Tim Mapala Proklamator Unversitas Bung Hata Terjun Langsung Evakuasi Korban Erupsi Marapi Dengan Tim SAR Gabungan https://t.co/Rc2alUy0r0 https://t.co/BVEsuXG3WA;Padang, Sumatera Barat;Positif
Indonesia dikelilingi oleh gunung api yang masih aktif dan perlu diwaspadai karena sewaktu-waktu bisa erupsi atau meletus. Misalnya saja yang belum lama ini terjadi yaitu Gunung Marapi Sumatera Barat. https://t.co/yUedrRhhbx #Berita #BeritaSatu #NewsUpdate;Jakarta, Indonesia;Negatif
Kisah Pilu Novita Intan Sari dan Wahlul Alde Putra Ibu Anak Korban Tewas Erupsi Gunung Marapi #NovitaIntanSari #WahlulAldePutra #GunungMarapi #SumateraBarat #turutberdukacita https://t.co/tm1LMCUovI;Banyumas Raya, Jawa Tengah;Negatif
Proses Evakuasi Korban Erupsi Marapi Resmi Ditutup Proses evakuasi terhadap korban erupsi Gunung Marapi di Sumatera Barat (Sumbar) resmi dihentikan pada Rabu (6/12) malam. Sebelumnya proses pencarian terhadap korban dimulai sejak erupsi pada Minggu (3/12). https://t.co/VCE75I6zac;Bengkal, Jawa Tengah;Negatif
Operasi pencarian korban erupsi Gunung Marapi dihentikan jalur pendakian pun ditutup. #Redaksi https://t.co/hHqG1OpxKL;Jakarta, Indonesia;Negatif
Ada yaa org ngjadiin duka atas erupsi Marapi sbg ksempatan naikin views? Dia blg shbt dkt sma si korban trus up di sosmed ada yg nanya shbt 8 thn tp kok gda fotbar? Ig maupun tiktok ga prnah breng dalihnya si krbn ga pke hijab pdhal pan bsa dittup pke coretan idh;Jakarta, Indonesia;Negatif
Keluarga Korban Erupsi Gunung Marapi Dimintai Biaya Urus Jenazah Ini Kata Rumah Sakit Ahmad Muchtar https://t.co/DwPV7MWOO2;Semarang, Indonesia;Negatif
Update Perkembangan Evakuasi Korban Pendaki Erupsi Marapi #BersamaHadapiBencana https://t.co/Yj1qJWHX88;Gorontalo, Indonesia;Positif
Pendirian Dapur Umum Untuk Korban Erupsi Gunung Marapi #BersamaHadapiBencana https://t.co/HdpxwLUBos;Gorontalo, Indonesia;Positif
DVI Polri Identifikasi 22 Korban Meninggal Erupsi Marapi https://t.co/Cree0vR6nC;Bengkulu, Indonesia;Negatif
gue nangisin korban erupsi marapi dari tadi;Jawa Barat, Indonesia;Negatif
Marapi sempat viral di media sosial. Semoga Yasirli Amri dan semua korban erupsi Gunung Marapi diberikan ketabahan dan kekuatan dalam menghadapi cobaan ini. ;Pagar Alam, Indonesia;Negatif
Update Perkembangan Evakuasi Korban Pendaki Erupsi Marapi https://t.co/7Ad7endQZj;Bengkulu, Indonesia;Positif
Kisah Heroik Tommy Relawan yang Evakuasi Korban Erupsi Gunung Marapi dengan Taruhan Nyawa https://t.co/63vJW9tgwm;Sumatera Barat, Indonesia;Positif
Proses Evakuasi Korban Erupsi Marapi Resmi Ditutup Proses evakuasi terhadap korban erupsi Gunung Marapi di Sumatera Barat (Sumbar) resmi dihentikan pada Rabu (6/12) malam. Sebelumnya proses pencarian terhadap korban dimulai sejak erupsi pada Minggu (3/12). https://t.co/jwwEz4IVGG;Medan, Indonesia;Negatif
Beberapa waktu yang lalu Gunung Marapi di Sumbar meletus tanpa peringatan menyebabkan banyak pendaki terjebak di sana. Lantas apakah erupsi gunung dapat diprediksi? #CekFaktaIDNTimes https://t.co/nv4JI1El0W https://t.co/V9hrBiBvsO;Jakarta, Indonesia;Negatif
Kisah Pilu Siska Afrina Korban Erupsi Marapi: Si Pecinta Alam itu Berpulang Jelang Wisuda https://t.co/mOJJR6smMV;Sumatera Barat, Indonesia;Negatif
SOSOK Siska Afrina Pendaki Wanita yang Jadi Korban Erupsi Gunung Marapi Mahasiswi UNP Berpulang Jelang Wisuda https://t.co/QzDGnfOevF;Pulo Gadung, Indonesia;Negatif
1 Lagi Jenazah Korban Erupsi Gunung Marapi Sumbar Ditemukan Kabid Humas Polda Sumbar: 7 Lagi Harus Dicari https://t.co/x98Z1I8jIj https://t.co/ruipLfq4MK;Sumatera Barat, Indonesia;Negatif
1 Lagi Jenazah Korban Erupsi Gunung Marapi Sumbar Ditemukan Kabid Humas Polda Sumbar: 7 Lagi Harus Dicari https://t.co/xWIksKj1oZ https://t.co/hYvLZ447Ky;Sumatera Barat, Indonesia;Negatif
1 Lagi Jenazah Korban Erupsi Gunung Marapi Sumbar Ditemukan Kabid Humas Polda Sumbar: 7 Lagi Harus Dicari https://t.co/yLf6Cojyyt https://t.co/gDY0mATFrm;Sumatera Barat, Indonesia;Negatif
1 Lagi Jenazah Korban Erupsi Gunung Marapi Sumbar Ditemukan Kabid Humas Polda Sumbar: 7 Lagi Harus Dicari https://t.co/FRFYCCQhoI https://t.co/HTOH10DgWU;Sumatera Barat, Indonesia;Negatif
sampe sekarang masih sedih ngeliat korban erupsi marapi apalagi 2 korban MD are my friends gak deket banget tapi ikut ngerasa kehilangam. you guys are good boys anak baik dan happy vibes utk org sekitar kalian. istirahat dengan tenang di sruga yaa alfatihah;Jakarta, Indonesia;Positif
Berapa hari ini nangisin korban erupsi gunung Marapi yaAlloh ;Sumatera Barat, Indonesia;Negatif
Ayah Salah Satu Korban Erupsi Marapi Dimintai Uang saat Jemput Jenazah Anaknya https://t.co/1C5zsD1cDR;Jakarta, Indonesia;Negatif
Masih kepikiran ife korban erupsi gunung marapi yaAllah fyp terus di tiktok ;Lumajang, Indonesia;Negatif
Polisi: 75 Pendaki Korban Erupsi Gunung Marapi Ditemukan https://t.co/tkUJAqpNDo lewat @Liputan86;Jakarta, Indonesia;Negatif
Tak diduga tak dinyana Gunung Marapi di Sumatera Barat tiba-tiba erupsi pada Minggu (3/12/2023). Bahkan sebanyak 23 orang pendaki menjadi korban gunung yang semula dinilai tenang . Lalu bagaimana dengan gunung berapi di Bali? https://t.co/870VE9sjtS;Denpasar, Bali;Negatif
WOIII AAAA KORBAN ERUPSI GUNUNG MARAPI SESEDIHB JTHHP;Jawa Barat, Indonesia;Negatif
Sehat selalu Tommy dan Semua Dunsanak Rekan-rekan yang membantu mengevakuasi korban erupsi Gunung Marapi. PRAYFORMARAPI Sebuah kisah perjuangan Da Tommy dan kawan2 yang berasal dari Batu Palano . Dimana pada saat itu mereka berinisiatif untuk langsung naik ke atas (puncak) https://t.co/T5xcVdHU9k;Jakarta, Indonesia;Positif
Wkwkwk plottwist ternyata salah satu korban erupsi gunung marapi gue tau dan mayan sering papasan;Sumatera Barat, Indonesia;Negatif
ga mau buka tiktok dlu deh yaallah fyp nya korban erupsi marapi semua jdi kebwa sedih karna kalo dari ceritanya mereka emg terkenal baik mana umurnya juga sepantar yallah ga kebayang paniknya mereka lagi asik di puncak langsung diguyur batuan dan panasnya vulkanik;Jakarta, Indonesia;Negatif
Isak Tangis Iringi Pemakaman Ibu dan Anak Korban Erupsi Marapi Live di Facebook Sebelum Tewas https://t.co/iiYva5G3ve;Jakarta, Indonesia;Negatif
DVI Polri Identifikasi 22 Korban Meninggal Erupsi Marapi Tim DVI Polri Polda Sumatera Barat (Sumbar) telah berhasil mengidentifikasi 22 dari 23 korban meninggal dunia akibat erupsi Gunung Marapi beberapa waktu silam. https://t.co/5ipJF77YDM;Sumatera Barat, Indonesia;Positif
Dari kemaren fyp tiktok isi nya korban erupsi gunung marapi merinding banget tiap baca komen2 sesolid itu yah orang2 yg naik gunung tuh mengutamakan org lain walaupun dirinya jga terancam masya allah semoga diberikan tempat yg indah untuk org2 baik ;Pandeglang, Banten;Negatif
Danrem 032/Wbr : Proses Evakuasi Korban Erupsi Marapi Resmi Dihentikan https://t.co/wrnbQP27aP #News #Berita #Kabar #Popular #klikwarta #InfoMasyarakat #viral #beritaterkini;Kota Bengkulu, Bengkulu;Positif
Tim Relawan Gabungan resmi menghentikan pencarian korban erupsi Gunung Marapi pada Rabu (6/12/2023) malam. Tim sudah berhasil mengevakuasi 75 korban. Mulai malam ini seluruh tim yang ikut dalam operasi pencarian akan kembali ke satuan masing-masing kata Wakapolda Provinsi https://t.co/kmRyPj4SGE;Jakarta, Indonesia;Negatif
DVI Polri Identifikasi 22 Korban Meninggal Erupsi Marapi Tim DVI Polri Polda Sumatera Barat (Sumbar) telah berhasil mengidentifikasi 22 dari 23 korban meninggal dunia akibat erupsi Gunung Marapi beberapa waktu silam. https://t.co/qDCodt7Jr6;Sumatera Barat, Indonesia;Positif
Erupsi gunung Marapi yang terjadi pada Ahad 3/12/2023 lalu tidak hanya meninggalkan kisah pilu bagi keluarga dari korban yang meninggal. Di balik itu terdapat kisah perjuangan para pendaki yang berusaha menyelamatkan diri dari fenomena alam yang merenggut 23 nyawa pendaki. https://t.co/Hxkumg40yW;Jakarta, Indonesia;Negatif
INFOCIMAHI - Proses pencarian korban erupsi Gunung Marapi Sumatera Barat resmi dihentikan pada Rabu (6/12/23) malam pukul 20.00 WIB. Seluruh korban ditemukan sebanyak 75 orang dengan rincian 52 orang selamat dan 23 orang meninggal akibat erupsi Gunung Marapi pada Minggu. https://t.co/sFT5x4bPEp;Jakarta, Indonesia;Negatif
Serem bgt fyp isinya korban erupsi gn marapi langsung blacklist ajalah keinginan mau naik ke kawah ijen takut gw wak;Jawa Barat, Indonesia;Negatif
HIMAGRAFIKA Erupsi Gunung Marapi pada 3 Desember 2023 telah menimbulkan duka yang mendalam bagi keluarga korban. Erupsi Gunung Marapi juga menimbulkan kekhawatiran di kalangan masyarakat. #KONTRIBUSIBERMANFAAT #HIMIAGOPUBLIC https://t.co/crPH5ZcI1L;Sumatera Barat, Indonesia;Negatif
Fyp TikTok korban erupsi Gunung Marapi Sumbar.;Lumajang, Indonesia;Negatif
*Korban Terakhir Erupsi Gunung Marapi Ditemukan Operasi Pencarian Resmi Ditutup* https://t.co/9o60C55UWX;Sumatera Barat, Indonesia;Negatif
Total Pendaki Meninggal Akibat Erupsi Gunung Marapi Sebanyak.23 Orang Berikut Daftar Nama Korban https://t.co/NSs9nVLRW4;Palu, Indonesia;Negatif
turut berduka cita yg mendalam utk seluruh korban erupsi gunung marapi. https://t.co/kHH16KOcdt;Kupang NTT;Negatif
hari kamis tanggal 30 mei 2024 kita kira jam 1 an gunung marapi sumatra barat erupsi kembali. #erupsi #sumbar #infobencannalam #gunungmarapi https://t.co/V6tTlFXVSm;Sumatera Barat, Indonesia;Negatif
@antaranews Jauh amat min ke Islandia Gunung Marapi di negeri sendiri lg erupsi meneng bae kalah sama @RadioElshinta @BNPB_Indonesia @kemkominfo @dewanpers @AJIIndonesia;Jakarta, Indonesia;Negatif
ga henti erupsi https://t.co/esOIBYlm2b;Pagaruyung, Sumatera Barat;Negatif
Terjadi erupsi G. Marapi pada hari Selasa 09 Januari 2024 pukul 19:43 WIB. Erupsi terekam di seismograf dengan amplitudo maksimum 27.3 mm dan durasi 32 detik. https://t.co/3miPOmm87q lewat @id_magma;Sumatera Barat, Indonesia;Negatif
Ya ampun erupsi lagi;Sumatera Barat, Indonesia;Negatif
Hujan abuu Erupsi gunung marapi #Marapi #sumbar https://t.co/YFklOfzrUZ;Sumatera Barat, Indonesia;Negatif
Lapas Kelas IIA Bukittinggi mengucapkan Pray for Marapi Kabupaten Tanah Datar dan Kabupaten Agam Sumatera Barat Semoga Saudara kita yang terdampak erupsi gunung Marapi diberikan keselamatan dan selalu dalam lindunganNya #marapi #Bukittinggi @DITJEN_PAS @labukti @kumhamsumbar https://t.co/UnC0J2dQ91;Bukittinggi, Indonesia;Negatif
erupsi gunun marapi masih berlangsung yang ditakutkan terjadi diperantauan ada bencana alam gini dan jauh dari keluarga https://t.co/YM1kWnb96h;Sumatera Barat, Indonesia;Negatif
Mulai turun hujan di Bukittinggi pasca erupsi Marapi;Sumatera Barat, Indonesia;Positif
Hujan abu di Bukittinggi karna erupsi gunung Marapi sore ini. Jalan licin banget karna debu dan krikil. Ada beberapa pengendara yang jatuh juga. Semoga cepat berlalu https://t.co/tJsgXZoOKc;Sumatera Barat, Indonesia;Negatif
Penampakan erupsi Gunung Marapi Sumatera Barat dari balkon rumah gw sore ini semoga aman https://t.co/DtM756C8jp;Batusangkar, Sumatera Barat;Negatif
@aajjoooww @padangmenfess Malatuih atau erupsi bg?;Sumatera Barat, Indonesia;Negatif
Gunung Marapi erupsi 18:32 sabtu 4 maret 2023 #gunungmarapisumbar https://t.co/Ougkn0zV4u;Padang Pariaman, Sumatera Barat;Negatif
Iya semacam erupsi kayak sinabung :) RT @QueenSteffyTNG: Bukittinggi juga meletuss? RT @SteffyourssPDG_: asap di Bukittinggi cukup tebel;Sumatera Barat, Indonesia;Positif
Aksi slidaritas pduli ssama pnggalang dana erupsi gnung snabung di pnorama lobang jepang 8 &amp  9 Maret @infoSumbar http://t.co/lhmxKjoghn;Sumatera Barat, Indonesia;Positif
@infoSumbar wkt erupsi kmrn gnng mrapi nggk klihatan saya kan tgl d pandai sikek td pagi klhatan puncak mrapi tp cm bntar hbs tu dh kabut lg;Payakumbuh, Sumatera Barat;Negatif
@yelviandanes aminn... bantuaknyo kini lah bacampua2 kabuiknyo cha soalnyo sajak kaba erupsi marapi kabuik lah semakin taba see...;Sumatera Barat, Indonesia;Negatif
Belum selesai kiriman asap dari RIAU sekarang di tambah lagi gunung MARAPI erupsi membuat warga BUKITTINGGI (SUMBAR) cukup was-was ...;Bukittinggi, Indonesia;Negatif
:( @Metro_TV: Gunung Marapi Mengalami Erupsi http://t.co/29y07RI5MX ;Sumatera Barat, Indonesia;Negatif
Jalanan dan seluruh nagari di Sumatera Barat diselimuti asap / abu vulkanik akibat erupsi (at Payakumbuh) [pic] https://t.co/1iDYEF1QaX;Payakumbuh, Sumatera Barat;Negatif
Gunung Marapi erupsi hujan abu radius 3km. #prayformarapi ;Sumatera Barat, Indonesia;Negatif
RT @PROVINSISUMBAR: Gunung Marapi Erupsi Masyarakat Diimbau Waspada. http://t.co/zTPN4nlzKD http://t.co/KD06K8EDgw;Sumatera Barat, Indonesia;Negatif
Waah gmn keadaan disana cy? @suci_febryani: Ternyata gini ya rasanya menghadapi erupsi gunung.. -_- #hmmp_nggakenak ;Sumatera Barat, Indonesia;Negatif
Proses erupsi 18..kali ni agak ganggu dan sepertinya malposisi.. Mudah2an erupsi sempurna biar ekso normal tanpa odontectomy. .ÃÂª(ÃÂÃ¢ÂÂ£ÃÂ)ÃÂ;Sumatera Barat, Indonesia;Positif
Dentuman terdengar cukup kuat padahal jarak nya menurut google map 18km dari Gn Marapi ke rumah https://t.co/PFGt3Gye6Y;Bukittinggi, Indonesia;Negatif
Marapi siang ini https://t.co/DDlkoFUNgD;Sumatera Barat, Indonesia;Negatif
@infoBMKG Di bukittinggi sumatera barat kerasa ada 3 kali gempa dalam 5 menit ini. Dimana tu min? Apa penyebabnya? Gn marapi aman keknya.. https://t.co/KHxzyHK62o;Bukittinggi, Indonesia;Negatif
Gunung Marapi &amp  Singgalang #gunung #mountains #marapi #singgalang #bukittinggi #tanahdatar #padang #sumbar #alam #nature https://t.co/74ztWyiAIA;Yogyakarta, Indonesia;Negatif
Gunung Marapi Kab.Tanah Datar Sumbar #gunung #marapi #gunungmarapi #tanah #datar #tanahdatar #mountain https://t.co/cjHms5IBn3;Yogyakarta, Indonesia;Negatif
Warga Korban Banjir Bandang IV Koto Agam Butuh Bantuan Sembako via @infosumbar https://t.co/eOrWrMus9a #infosumbar #Agam;Padang, Sumatera Barat;Negatif
BIN Gerak Cepat Bantu Korban Bencana Alam Di Sumatera Barat. Sebagai bentuk kepedulian terhadap korban bencana alam di Sumatera Barat #Prayforsumbar #Pedulibencana #Sumbar #infosumbar #sumbar24jam #Agam #tanahdatar #Bukittinggi https://t.co/OENGjLUwvx;Sumatera Barat, Indonesia;Positif
 Rumah Qur'an Ibadurrahman Payakumbuh Peduli Bencana BERBAGI UNTUK KORBAN GALODO SUMBAR Bantuan dapat disalurkan melalui: BSI 8270234400 a.n Yayasan Daarul Huffazh Ibadurrahman #donasi #berbagi #pedulibencana #bantuankemanusiaan #galodo #bencanasumbar #sumbarberduka https://t.co/1p1rLCRi5c;Payakumbuh, Sumatera Barat;Positif
